id,name,size,proof,abv,spirit_type,brand_id,popularity,image_url,avg_msrp,fair_price,shelf_price,total_score,wishlist_count,vote_count,bar_count,ranking
19547,Jack Daniel’s 12 Year Tennessee Whiskey #1,750,107,53.5,Whiskey,231,100047,https://d1w35me0y6a2bb.cloudfront.net/newproducts/7800313d-960f-4348-a7e6-64c13916885f,82.48,188.35,359,3658,874,1173,1611,102
16681,Blanton's Black,750,80,40,Bourbon,10,100033,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec0xGiQNs5KPhNXy,199.99,294.28,224.73,3654,1729,848,1077,103
2706,Elijah Craig Barrel Proof Batch B519,750,125,62.5,Bourbon,2,1200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec2nnBP2xP4HSim1,62.48,101.64,89.99,3597,794,1614,1189,104
4776,Pappy Van Winkle 20 Year Family Reserve,750,,45.2,Bourbon,370,1800,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recCRPpOTPWSMLbAX,218.31,1072.05,2399.9,3557,2117,1073,367,105
1708,Bowman Brothers Small Batch,750,90,45,Bourbon,687,100049,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recQSlXJhJDlKP5Uw,31.35,55.59,33.58,3532,283,877,2372,106
2849,Hancock's President's Reserve Bourbon,750,88.9,44.45,Bourbon,2320,100043,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec4REq9DfYniR0TD,51.64,128.09,189.89,3528,654,1063,1811,107
2769,Old Forester 1897 Bottled In Bond,750,100,50,Bourbon,152,100026,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec3QXKYrHaN0oYEc,46.99,69.06,57.99,3515,622,836,2057,108
5194,Michter's US1 Kentucky Straight Rye,750,84.8,42.4,Rye,405,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recHFkS9cxK4oVX3m,43.01,70.36,54.99,3470,294,663,2513,109
3317,Michter's Limited Release Toasted Barrel Bourbon,750,,45.7,Bourbon,405,100049,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recknpSLFePovphgH,70.66,205.5,299.99,3446,1544,913,989,110
15948,Smoke Wagon Bourbon,750,92,46,Bourbon,2808,1780,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recjZFVq7sziRYB3B,29.99,46.7,34.99,3444,465,819,2160,111
4948,Thomas H Handy,750,129.5,64.75,Rye,3684,100044,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recEncvPuVkYT03Ak,103.54,530.79,700,3440,1047,1162,1231,112
2353,Knob Creek 15 Year Batch KC001,750,,50,Bourbon,189,1600,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recYQ8t3Q61FexPtD,113.3,174.28,119.99,3432,916,1036,1480,113
3958,Basil Hayden's Bourbon,750,80,40,Bourbon,330,100027,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recsuxthI9vrYAEdF,38.95,52.11,44.13,3427,249,783,2395,114
4450,Buffalo Trace,1000,90,45,Bourbon,245,100050,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recynj4TDF3tIdXtm,31.77,58.32,39,3427,185,821,2421,114
17176,Peerless Double Oak Bourbon,750,109,54.5,Bourbon,163,100057,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recSAAp8SGDHRfYIC,88.97,120.88,148.49,3406,679,813,1914,116
7140,Buffalo Trace Bourbon Cream,750,30,15,Liqueurs,245,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recYsXSE105q4ECKf,20.97,36.72,28.99,3357,140,729,2488,117
14409,Widow Jane Decadence,750,91,45.5,Whiskey,295,100062,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recDs0czgClatyA27,84.97,127.96,146.31,3342,438,862,2042,118
1462,Larceny,750,92,46,Bourbon,587,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recNqaM5DIYTY1Ogr,25.81,39.24,31.99,3324,275,863,2186,119
4576,Michter's Single Barrel Rye 10 Year,750,93,46.5,Rye,405,100038,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recz17t4abIbw4sHf,158.6,287.59,275.99,3292,663,1053,1576,120
429,Old Forester Statesman,750,95,47.5,Bourbon,152,100029,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recajB9QXl85VVyi7,52.87,81.93,59.49,3261,342,848,2071,121
1663,Redbreast 12 Year Old Single Pot Still,750,80,40,Irish Whiskey,646,1920,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recPJhLfuejW7EqpZ,66.08,80.59,71.77,3233,511,878,1844,122
21689,Crown Royal Blackberry,750,70,35,Canadian Whisky,182,100067,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recFbBA0vcRseKJin,33.95,43.69,36.67,3204,94,734,2376,123
16484,Calumet Farm 15 Year Single Rack Black,750,105,52.5,Bourbon,769,1960,https://d1w35me0y6a2bb.cloudfront.net/newproducts/reckAiWwFEzzaC6Rm,129.98,158.66,149.99,3176,580,829,1767,124
4598,Weller Antique 107,1750,107,53.5,Bourbon,156,100058,https://d1w35me0y6a2bb.cloudfront.net/newproducts/reczgOfqTV9DjCdLK,99.99,165.4,299.99,3168,782,1145,1241,125
15985,George Dickel 15 Year Single Barrel,750,105,52.5,Whiskey,486,1996,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recCUVFdM6HyJI3hV,59.97,97.54,100.4,3114,441,1150,1523,126
17021,Little Book Chapter 5: The Invitation,750,117,58.5,Bourbon,823,1998,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recXp8tW02Ex447K0,124.97,188.56,209.89,3102,882,1188,1032,127
4486,John J. Bowman Single Barrel 10 Year,750,100,50,Bourbon,6232,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recy0ZZcEMUAAWKTc,49.15,80.71,55.04,3084,753,743,1588,128
1636,Russell’s Reserve Private Barrel Selection Single Barrel,750,110,55,Bourbon,496,100074,https://d1w35me0y6a2bb.cloudfront.net/newproducts/a887f597-cfef-4a49-985b-e8b632b5db32,56.99,104.53,63.83,3006,442,538,2026,129
220,Noah's Mill,750,,57.15,Bourbon,8577,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec850EjFSGBieSX3,63.83,93.77,71.49,2967,273,762,1932,130
3941,Michter's US1 Unblended American Whiskey,750,83,41.5,Bourbon,405,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recsTcWBsUkitiYIU,44.98,68.58,54.66,2905,294,679,1932,131
4593,Kentucky Owl Confiscated,750,,48.2,Bourbon,779,100,https://d1w35me0y6a2bb.cloudfront.net/newproducts/reczcZOsqVRMEF0X0,124.97,217.88,159.12,2884,296,929,1659,132
1924,Old Tub,750,100,50,Bourbon,3559,1999,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recS3K2f1ZpQduCg4,22.23,35.33,29.99,2881,276,950,1655,133
2594,Eagle Rare 17 Year,750,90,45,Bourbon,542,100,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec0j5xtGTJNTdaLQ,103.54,681.17,1998.89,2833,1487,990,356,134
14147,Blanton's,375,93,46.5,Bourbon,10,,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recHxGLWCCDvY4MlC,31.99,53.88,84.99,2814,164,693,1957,135
19806,John J. Bowman Single Barrel Limited Edition,750,100,50,Bourbon,3248,100060,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recrZ7bOHyp19RgYH,50,85.75,54.99,2774,421,554,1799,136
2476,Old Grand Dad Bonded,750,,50,Bourbon,793,100028,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recZFqcPggFRQ1V4w,23.66,36.25,27.49,2773,279,721,1773,137
19971,Penelope 5 Year Toasted Barrel,750,,50,Bourbon,2817,100058,https://d1w35me0y6a2bb.cloudfront.net/newproducts/5f9ce3fe-0b05-49e0-b063-86f0c9906435,69.98,93.12,58.9,2754,270,616,1868,138
1800,Bomberger Small Batch Straight Bourbon,750,108,54,Bourbon,703,100033,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recRwpWO8UR5jUgsU,91.98,166.94,277.11,2710,586,820,1304,139
19503,Ben Holladay Soft Red Wheat Bottled in Bond,750,100,50,Bourbon,3647,100050,https://d1w35me0y6a2bb.cloudfront.net/newproducts/b393c598-ad31-4c65-8b07-6bde2752789c,59.97,77.74,59.99,2709,285,633,1791,140
38465,Maker's Mark Wood Finish Series The Heart Release 2024,750,111.7,55.85,Bourbon,333,100077,https://d1w35me0y6a2bb.cloudfront.net/newproducts/da8c2476-99f5-432c-9ceb-f2ed48f15950,75,108.96,146.15,2695,274,523,1898,141
495,Maker's Mark Cask Strength,750,113.2,56.6,Bourbon,333,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recbbGS4iqm1xiVYS,49.73,65.34,55.7,2669,301,606,1762,142
19526,Maker's Mark 2023 Wood Finishing Series BEP,750,110,55,Bourbon,333,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/5c88d2a7-be5d-4965-8841-9a4a6615d019,67.47,117.43,64.99,2667,93,675,1899,143
16613,Barrell Seagrass Rye Whiskey,750,118.4,59.2,Rye,146,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recmUbjbRg7Dn3cub,87.46,94.18,90.06,2659,263,755,1641,144
3860,Jack Daniel's,750,80,40,Whiskey,231,100039,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recrory7Tdm19N6fk,24.21,35.04,27.29,2658,196,1005,1457,145
966,New Riff Bourbon Single Barrel,750,98,49,Bourbon,254,100029,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rechz9ebtYu4dZLsa,52.49,81.63,57.6,2655,342,585,1728,146
3249,Wild Turkey Rare Breed Barrel Proof Rye,750,116,58,Rye,191,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recjwZj9cJndWwWPt,57.48,81.77,74.89,2634,311,683,1640,147
1133,Uncle Nearest 1856,750,100,50,Whiskey,567,1996,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recJFKeoEZ2QlHCfm,55.88,88.5,64.29,2633,384,848,1401,148
18070,Blood Oath Pact No. 8,750,,49.3,Bourbon,849,1980,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recT4c7Pf4qfLBCSU,124.97,222.55,280.85,2623,438,889,1296,149
18184,Jack Daniel's Bonded,700,100,50,Whiskey,231,,https://d1w35me0y6a2bb.cloudfront.net/newproducts/reckM8p0DW8byhfDT,33.97,47.5,32.64,2598,104,650,1844,150
17898,Weller Special Reserve,1000,90,45,Bourbon,156,100039,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recGsrlDsDcWv6CmH,29.99,71.65,79.45,2587,229,714,1644,151
2291,Wild Turkey Longbranch 8 Year,750,86,43,Bourbon,191,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recXnVO51ZKsyylWp,37.54,61.02,41.8,2584,229,648,1707,152
21106,Stagg - 23C,750,125,62.5,Bourbon,3640,100042,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recQsEooEteqiIQLE,59.99,197.99,175.83,2532,499,607,1426,153
2831,New Riff Bourbon,750,100,50,Bourbon,254,1700,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec39RJiDeQBrJv1q,39.98,62.23,54.99,2512,474,631,1407,154
633,Michter's Barrel Strength Rye Whiskey,750,111.8,55.9,Rye,405,100025,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recdB01wlmUNCEANJ,79.02,204.81,215.39,2490,608,771,1111,155
2549,Crown Royal Peach,750,70,35,Canadian Whisky,182,100027,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec0xqZZEwI7E885d,29.61,45.5,39.99,2477,115,516,1846,156
3997,Redwood Empire Lost Monarch,750,90,45,Whiskey,445,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recs4YaRKIRaGyXhU,40.97,57.26,52.89,2471,263,588,1620,157
18508,Willett Wheated 8 Year,750,108,54,Bourbon,2986,100037,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec5k30jxgSmZryAH,249.99,339.41,270.58,2463,324,998,1141,158
41273,Stagg Batch 24A,750,,63.8,Bourbon,3640,100046,https://d1w35me0y6a2bb.cloudfront.net/newproducts/8eb464d7-81f5-4df2-84d4-174c85d2389b,65,172.98,207.47,2462,624,646,1192,159
17450,Benchmark Single Barrel,750,95,47.5,Bourbon,3330,100031,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recaj6GAKbcqGNQwB,24.97,36.69,31.89,2460,232,524,1704,160
21242,George T. Stagg 2023 Release,750,,67.5,Bourbon,352,100049,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recEjgFQvnlVNcH77,124.97,622.6,1062.5,2356,718,699,939,161
893,Old Forester 86 Proof,750,,43,Bourbon,152,100031,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recgKSyn8Ed6oZW72,21.25,34.71,22.99,2343,346,889,1108,162
16682,Blanton's Red,750,93,46.5,Bourbon,10,100033,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recQspTYVcfEl4SUw,199.99,294.86,349.59,2317,1032,492,793,164
17397,Old Fitzgerald 8 Year - Spring 2021,750,100,50,Bourbon,234,1600,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recFtk3FcVV0nbWX8,84.99,191.83,234.55,2302,1467,602,233,165
17632,Elijah Craig Barrel Proof Batch A122,750,121,60.5,Bourbon,2,1200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/42cf6c22-3da1-4584-9477-2ae5d5b0639a,69.97,127.1,90.02,2292,214,602,1476,166
17435,Knob Creek 12 Year Cask Strength ,750,121,60.5,Bourbon,189,100036,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recitOSI7BboWYsjc,94.79,114.59,104.27,2265,720,683,862,167
435,Crown Royal,750,80,40,Canadian Whisky,182,1996,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recbSBRwenrYqKTcx,25.72,43.8,30.99,2234,162,795,1277,168
17247,Benchmark Bonded,750,100,50,Bourbon,3330,100029,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recXKQYMNayJv4NUk,19.97,27.3,23.19,2231,226,466,1539,169
15984,Old Forester 150th Anniversary,750,127,63.5,Bourbon,152,1998,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recbwOTTyHWJlIxv4,150,270.36,512.47,2230,1020,904,306,170
670,Coopers' Craft Barrel Reserve,750,100,50,Bourbon,2494,100045,https://d1w35me0y6a2bb.cloudfront.net/newproducts/0600c341-341c-42e6-8b12-84d1db7d969c,32.22,44.66,40.03,2219,433,246,1540,171
1579,Basil Hayden's 10 Year,750,,40,Bourbon,330,1800,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recOVSI9ABAypKBe3,67.48,96.37,91.49,2206,323,630,1253,172
15989,Maker's Mark 2021 Wood Finishing Series FAE-01,750,111,55.5,Bourbon,333,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recfidomWc4I4TOty,59.57,134.68,69.86,2186,314,631,1241,173
17068,Still Austin Cask Strength Bourbon,750,116,58,Bourbon,3145,100041,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recZIBgvu1RaUHe4z,64.99,73.69,71,2173,269,479,1425,174
5131,Jack Daniel's Single Barrel Barrel Proof,375,128,64,Whiskey,231,60,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recGZYMKtX3giZtyH,33.97,75.34,45.88,2163,159,627,1377,175
19626,Bardstown Origin Series Bottled in Bond,750,100,50,Bourbon,778,100032,https://d1w35me0y6a2bb.cloudfront.net/newproducts/f1b496d4-b5d8-4e91-abb8-83a74cf3d975,49.97,69.08,54.05,2125,247,468,1410,176
1419,Isaac Bowman Port Barrel Finish Bourbon,750,92,46,Bourbon,6683,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recM8vbfzqHVZya80,39.3,60.52,61.79,2118,154,514,1450,177
16161,Blood Oath Pact No. 7,750,98.6,49.3,Whiskey,849,1980,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recSIud6npYB7ab4p,99.99,251,249.99,2085,406,782,897,178
17210,Penelope Toasted Series,750,112,56,Bourbon,2817,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec7Sq90l6MbsnW6A,69.97,89.16,94.99,2082,200,447,1435,179
18235,Calumet Farm 16 year Single Rack Black,750,106,53,Bourbon,769,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/reccHrJbZgZTKN4NU,129.99,167.89,154.49,2072,226,612,1234,180
19720,Green River Wheated Sour Mash,750,90,45,Bourbon,3445,100041,https://d1w35me0y6a2bb.cloudfront.net/newproducts/bf03e038-76a5-4842-8704-e48563544a99,35,45.61,35.99,2054,204,506,1344,181
17213,Blue Run High Rye Bourbon,750,111,55.5,Bourbon,2820,1600,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec9Vetq3aMEhXUwh,97.47,140.59,109.99,2048,248,557,1243,182
15965,Penelope Bourbon Four Grain,750,80,40,Bourbon,2817,1120,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recqXwD3K4cP85KkF,37.47,56.43,38.91,2045,198,511,1336,183
4588,Rowan's Creek 12 Year,750,,50.05,Bourbon,8524,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recz9nrva4Dt27gDg,48.81,71.85,54.67,2031,170,479,1382,184
1736,Bulleit Bourbon Barrel Strength,750,119.4,59.7,Bourbon,415,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recQGRauPc8PhJFbw,50.14,67.32,54.03,2030,223,262,1545,185
2159,Old Forester 100,750,100,50,Bourbon,152,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recV0eRDYZzQ8DWuk,23.59,37.51,24.99,2017,221,487,1309,186
18396,Ben Holladay Bottled in Bond Bourbon,750,100,50,Bourbon,3647,100027,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recJWu8BOhyhYpgoc,59.98,75.46,67.99,2014,247,502,1265,187
17138,Remus Repeal Reserve V,750,100,50,Bourbon,586,1600,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recnQAvWnLD8wcYQZ,90,241.09,149.99,2004,406,741,857,188
18712,Elijah Craig Barrel Proof Batch C922,750,125,62.5,Bourbon,2,1200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/569368fa-2cb3-4253-8de8-f8a1af3abd88,69.97,107.5,79.99,1994,131,489,1374,189
184,Belle Meade Cask Strength Reserve Bourbon,750,108,54,Bourbon,154,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8ypD0R8Z2lM8jz,56.69,92.34,73.42,1988,219,468,1301,190
859,Monkey Shoulder,750,86,43,Scotch,483,1900,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recgUDEyqd2u99HpY,33.89,51.34,37.26,1986,226,504,1256,191
286,Buffalo Trace Kosher Wheat 7 Year,750,,47,Bourbon,245,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec9DcfxtrwJNKsqq,39.99,85.93,79.98,1984,276,566,1142,192
21466,James E. Pepper Barrel Proof Bourbon,750,105.4,52.7,Bourbon,550,100045,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8pklFoPunGfATF,64.99,80.06,72.48,1979,257,437,1285,193
19559,Redwood Empire Pipe Dream Cask Strength,750,117,58.5,Bourbon,445,100031,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recDvBiLOCJFD8ULj,70,103.14,75.89,1977,305,424,1248,194
17089,Woodford Reserve Master's Collection Batch Proof 128.3,750,128,64,Bourbon,2004,1960,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recT4oa9621BqzqWR,130,187.36,350.89,1973,779,603,591,195
3123,Jameson Irish Whiskey Triple Distilled,750,80,40,Irish Whiskey,214,1996,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec72JDJEjoMIYjzf,28.69,33.53,37.24,1970,190,578,1202,196
3205,Rabbit Hole Dareringer Sherry Bourbon Cask,750,93,46.5,Bourbon,573,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/reci2r5koMIa3li3M,71.45,111.06,94.89,1965,210,548,1207,197
3265,Crown Royal Salted Caramel,750,70,35,Canadian Whisky,182,100029,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recjW5MWKuAREMjFt,28.14,51.64,30.11,1943,119,499,1325,198
3152,George Dickel Bottled in Bond Tennessee Whiskey 13 Year,750,100,50,Whiskey,486,1600,https://d1w35me0y6a2bb.cloudfront.net/newproducts/reciPtFsn8BCFlQyt,40.3,66.26,79.98,1939,209,588,1142,199
18233,Elijah Craig Barrel Proof Batch B522,750,121,60.5,Bourbon,2,1200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/70e0a3c0-d40b-4c1a-ae5f-1279add8df4f,72.47,113.91,89.97,1938,127,436,1375,200
2331,Eagle Rare 10 Year,375,90,45,Bourbon,542,,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recX9Tqmo30jkzrbv,17.63,63.59,24.99,1919,126,524,1269,201
17293,Booker’s Bourbon 2021-04 Noe Strangers Batch,750,124,62,Bourbon,647,1800,https://d1w35me0y6a2bb.cloudfront.net/newproducts/1ca0cb72-a017-499b-b1c7-e4e1da16c850,89.99,164.51,109.99,1914,239,615,1060,202
